English:						Romaji:

Missing link, oooooh					misshingu rinku uuuuu
Missing link, ooooh					misshingu rinku uuuu
The lost link						ushinawareta rinku
I am unlinked,						tsunagaranai watashi
yet I continue to change				nano ni kawari tsudzukeru watashi
O Heavenly Bodies!					tentai yo
Why do I exist in this world?				doushite kono yo ni watashi ga iru no					
Missing link, oooooh					misshingu rinku uuuuu
Missing link, ooooh					misshingu rinku uuuu
The lost link						ushinawareta rinku
I am unlinked,						tsunagaranai watashi
yet I may link others					nano ni tsunageru chikara
O Illusions!						maboroshi yo
Why do I exist in this here and now?			doushite ima koko ni watashi wa iru no		
Never wishing to be born,				umaretakunakutemo
yet I was born						umareteshimau
The very first						motto mo shigen no
soul that was me					watashi no kokoro
To be born and die...					umaretara shinu nante
To be born and vanish...				umaretara kieru nante
To repeat this cycle...					kurikaesu nante
How very absurd						totemo fujouri
I am unlinked,						tsunagaranai watashi
yet I am linked						nano ni tsunagaru watashi
Look, now the vanished me is singing			hora ima kieta watashi ga utatteru
Look, now the vanished me is smiling			hora ima kieta watashi ga waratteru
Look, now the vanished me is petrified			hora ima kieta watashi ga tachisukumi
Look, now the vanished me is living			hora ima kieta watashi ga ikiteiru
I exist							watashi wa iru
I am here						koko ni iru
I exist							watashi wa iru
I am here						koko ni iru
I exist!						watashi wa iru
Missing link... Missing link... Missing link...		misshingu rinku misshingu rinku misshingu rinku
