English:						Romaji:

Time machine!						Time machine!
To the past! To the future! Zi-fyoom! Sha-zoom!		kako he mirai he zubikyun shazuzun
Time machine!						Time machine!
My cute childhood days					kawaii watashi no kodomo jidai
Making a carpet of lotus blossoms,			renge no juutan
playing with dolls					ningyou asobi
That marvelous incantation! Fi! Fi!			fushigi na majinai fii fii
Sugar candies						konpeitou
I wore a pretty dress					kirei na bebe kita
The Children’s Festival					shichigosan
Oh, my dream machine!					Oh, my dream machine!
A blizzard of petals					hana fubuki
To my distant, past self...				haruka mukashi no watashi he
Ten! Two! One! Zero! Take off!				Ten! Two! One! Zero! Take off!
Time machine!						Time machine!
To the past! To the future! Zi-fyoom! Sha-zoom!		kako he mirai he zubikyun shazuzun
Time machine!						Time machine!
To those days of dreams and hope			yume to kibou no ano toki ni
Hair tied back,						kami wo musunde
carrying a boxed lunch					obentou motte
That marvelous incantation! Fi! Fi!			fushigi na majinai fii fii
Amusement parks						yuuenchi
“Holy moly!”...						odoroki momo no ki
...my heart cries out					watashi no kokoro wa
Oh, my dream machine!					Oh, my dream machine!
A blizzard of dreams					yume fubuki
To my distant, past self...				haruka mukashi no watashi he
Ten! Two! One! Zero! Take off!				Ten! Two! One! Zero! Take off!
