English:							Romaji:

The absolute destiny: apocalypse				zettai unmei mokushiroku
The absolute destiny: apocalypse				zettai unmei mokushiroku
Birth records, baptismal registry,				shussei touroku senrei meibo
records of death						shibou touroku
The absolute destiny: apocalypse				zettai unmei mokushiroku
The absolute destiny: apocalypse				zettai unmei mokushiroku
My own birth, absolute birth					watashi no tanjou zettai tanjou
Apocalypse							mokushiroku
A midwife amid the desert of darkness, a wet nurse		yami no sabaku ni sanba uba
A gilded Shangri-La						kin no mekki no tougenkyou
Day and night invert						hiru to yoru to ga gyakumawari
A time-gilded Paradise Lost					toki no mekki no shitsurakuen
Darkness of Sodom, darkness of light				sodomu no yami hikari no yami
Darkness beyond, darkness unending				kanata no yami hatenaki yami
The absolute destiny: apocalypse				zettai unmei mokushiroku
The absolute destiny: apocalyptic darkness			zettai unmei mokushiyami
Apocalypse							mokushiroku
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo		
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
apocalyp calypapo lypapoca caapolyp apolypca lypcaapo		mokushi kushimo shimoku kumoshi moshiku shikumo
