English:								Romaji:

A celestial time scale, the primordial sea				tentai jidai genshi no kaiyou
Erosion, sedimentation							shin shoku taiseki
3 billion years, the birth of life: a geological time scale		sanjuu oku nen seimei tanjou chishitsu jidai
Cambrian, Ordovician, Silurian, Devonian				kanburia orudobisu shiruru debon
Stromatolite, bacteria, collenia					sutorosu toraito bakuteria korenia
Triassic, Jurassic, Cretaceous						sanjou juraki hakuaki
Lycopodium clavatum, Selaginella tamariscina				hikage no kazura iwa hiba
Pleuromeia								pureuromeia
Caytonia, Bennettitales							kaitonia bennechitesu
Ammonite								anmonaito
Sea Rose, Sea Lily							umi no bara umi no yuri
Sea Apple, Sea Bud							umi ringo umi tsubomi
Sea Angel, Sea Mirror							umi tenshi umi kagami
Sea Gateway, Sea Haze							umi tobira umi kagerou
Carboniferous, Permian, Paleozoic					sekitan nijouki koseidai
Sea You, Sea Me								umi no anata umi no watashi
The Paleozoic within the flesh						nikutai no naka no koseidai
Continuing to live,							iki tsuzukeru
continuing to die							shini tsuzukeru
The Paleozoic tells a story						katarikakeru koseidai
Just like a whale...							kujira no youni
Just like a dolphin...							iruka no youni
Just like a seal...							azarashi no youni
...the Sea Me, to the bottom of the sea					umi no soko he umiwatashi
The grand history at the bottom of the sea				umi no soko no dai rekishi
The bottom of the sea, which makes me myself				boku ga boku suru umi no soko
Ammonite!								anmonaito



























