English:						Romaji:

In the space between two mirrors,			mugen ni tsui no kankei ga
opposing couples propagate				nimai no kagami no hazama de
into infinity, the whims				zoushoku shite yuku yokubou no
of a desire, mindless and false				kimagure mujou no itsuwari no
Oh, there is not a soul...				aa hito wa nashi
Oh, in the darkness...					aa yami no naka
Oh, the sound of the waves...				aa nami no oto
Even a light casts a shadow				hikari tote kage tsukuri
My opposite, my couple, is always me			watashi wo watashi to tsui ni suru
Sudden loneliness, and it's because			kodoku no hassei sono riyuu
My opposite, my couple, is always me			watashi wo watashi to tsui ni suru
Twins							futago
Twins-in-law						giri no futago
Marionette twins					karakuri futago
Twins nonexistent					fuzai no futago
When I can see the unseeable				mienai mono ga mieru tame
A world pulled on strings comes into view		karakuri sekai ga fujou suru
Home of mechanical games and optical illusion		yuugi souchi ya damashie no
A world pulled on strings comes into view		karakuri sekai ga fujou suru
Earth is a persona, fabricated				chikyuu wa jinbutsu karakuri no
Earth is a toybox of personas				chikyuu wa jinbutsu omochabako
Earth is a department store of personas			chikyuu wa jinbutsu hyakkaten
Earth is an exhibition of personas			chikyuu wa jinbutsu hakurankai
Earth is a museum of personas				chikyuu wa jinbutsu hakubutsukan
Earth is a display cabinet of personas			chikyuu wa jinbutsu garasu dana
Earth is a...						chikyuu wa
