English:							Romaji:

Theater								gekijou
Exceptional minds						tokubetsu seishin
Collective phenomenon						shuugou genshou
Theater								gekijou
Exceptional people						tokubetsu jinbutsu
Imagined reality						kuusou genjitsu
An operating table, a wrecked ship				shujutsudai nanpasen
A genuine play, the spira mirabilis				junsui yuugeki supira mirabirisu
Whirlpools, spirals						uzumaki rasen
Forever changing, the spira mirabilis				henka shitsuzukeru supira mirabirisu
The Dream of Scipio...						sukipio no yume
Theater								gekijou
Illusory minds							gensou seishin
Perpetual motion						fushi no undou
Theater								gekijou
Illusory people							gensou jinbutsu
Perpetual structure						fushi no kozou
Ammonite shell, alchemy						anmongai renkinjutsu
Scarab, the spira mirabilis					shinsei kouchuu supira mirabirisu
Ever dying, just to live again, the spira mirabilis		futatabi ikiru tameni shinu supira mirabirisu
The wondrous whirlpool						kyoui no uzumaki
Snail, snail...							maimai maimai
Snail, snail...							maimai maimai
Never-ending theater						owarinaki gekijou
On the geometric stage						kikagaku butai
of the mystery of life and death				seimei shi no shinpi
Exeunt, all!							sariyuku issai
Death, rebirth, death, rebirth, death, rebirth, death		shi saisei shi saisei shi saisei shi
