English:							Romaji:

Universal light, mosaic light					banshou raito mozaiko raito
Child of daybreak, angel Lucifer				akatsuki no ko rushiferu tenshi
Apocalyptic light, Michael’s light				mokushi raito mikaeru raito
Child of darkness, androgynous					yami no ko andorogyunusu
Fire’s light, heavenly light					honoo no raito tendou raito
Hierarchia of the heavens					tenkai no hierarukia
Illusory light, eternal light					gensou raito eien raito
Fanciful machination, capricious birth				kuusou karakuri kimagure tanjou
Nyx, Erebus, Uranus, Thanatos					nikokusu erebosu uranosu tanatosu
Bodies shining bright, spherical in shape, gynous		hikari kagayaku karada kyuukei gyunusu
Born into every possible miracle, gynous			arayuru kiseki ni umare gyunusu
The principle of pleasure, the principle of Nirvana		kairaku gensoku niruvaana gensoku
Death’s inevitability, in other words, the light		shi no hitsuzensei sunawachi hikari
Without having lived,						ikite wa izu ni
the moving phenomenon of life					ugoiteiru seimei no shou
In the cerebral universe,					dainou uchuu ni
the shape of a life adrift					samayotteiru seimei no kei
Luminosity, an avatar seeking eternity,				koumyou kegen eien wo kishite
in other words, the imperfect return to the origin		sunawachi gensho ni modoru fukanzen
Male, female; positive, negative; both are me			ryousei ryoukyoku futatsu no watashi
Up, down; left, right; both are me				jouge sayuu futatsu no watashi
Front, back; Heaven, Earth; both are me				zengo tenchi futatsu no watashi
Angel, devil; both are me					tenshi akuma futatsu no watashi
Inside I’m hollow, hollow, hollow, hollow,			naka wa utsuro utsuro utsuro utsuro
hollow, hollow, hollow, hollow, hollow, hollow			utsuro utsuro utsuro utsuro utsuro utsuro
